model,split,target,n,MAE,Spearman_rho,log_MAE,log_R2,factor_acc_2x,R2,acc_within_10pt,diagnostics,RMSE,Pearson_r
F1-RF-Meta-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3558.3021,0.4572,1.0015,0.2572,0.4776,-0.0258,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}}",17734.958,0.2967
F1-RF-Meta-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,7916.6163,0.5144,1.4387,-0.603,0.3236,-0.0794,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}}",27714.3784,0.2278
F1-RF-Meta-CARMATensor,mal2025_dual_local_ready,meanScore,1202,9.121,0.5629,,,,-1.3687,0.6106,resumed from existing CARMA tensor prediction file,10.6519,0.5538
F1-RF-Meta-CARMATensor,mal2025_dual_local_ready_yolo,meanScore,1202,9.121,0.5629,,,,-1.3687,0.6106,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta""], ""image_dim"": 1024, ""n_features"": 56, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}}",10.6519,0.5538
F2-XGB-Concat-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3598.1826,0.524,1.0294,0.1637,0.5017,-0.0335,,resumed from existing CARMA tensor prediction file,17801.7096,0.331
F2-XGB-Concat-CARMATensor,mal2025_dual_local_ready,popularity,1202,8061.0942,0.5789,1.6172,-0.9353,0.2787,-0.0864,,resumed from existing CARMA tensor prediction file,27804.6011,0.3443
F2-XGB-Concat-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3573.2151,0.5297,0.9932,0.2331,0.5147,-0.0288,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17761.2165,0.3762
F2-XGB-Concat-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,8013.8245,0.6379,1.5784,-0.7891,0.2704,-0.0814,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27739.8727,0.4028
F2-XGB-Concat-CARMATensor,mal2025_dual_local_ready,meanScore,1202,9.76,0.6061,,,,-1.5992,0.5649,resumed from existing CARMA tensor prediction file,11.1581,0.5833
F2-XGB-Concat-CARMATensor,mal2025_dual_local_ready_yolo,meanScore,1202,9.9334,0.6449,,,,-1.6242,0.5424,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",11.2115,0.6212
C1-Armenta-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3571.2901,0.2798,1.1704,-0.0195,0.4345,-0.0103,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17600.369,0.3801
C1-Armenta-CARMATensor,mal2025_dual_local_ready,popularity,1202,8015.9638,0.4572,1.9602,-1.4673,0.1298,-0.0595,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27457.8786,0.4381
C1-Armenta-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3482.7309,0.4329,1.024,0.3195,0.4133,0.0198,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17336.4888,0.3848
C1-Armenta-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,7691.6187,0.5781,1.369,-0.3427,0.2937,-0.0292,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27061.9265,0.4648
C1-Armenta-CARMATensor,mal2025_dual_local_ready,meanScore,1202,9.9122,0.5826,,,,-1.7643,0.5316,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",11.5069,0.5582
C1-Armenta-CARMATensor,mal2025_dual_local_ready_yolo,meanScore,1202,8.2518,0.5607,,,,-1.0714,0.6631,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",9.961,0.5368
C2-CrossAttention-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3601.2773,0.3576,1.0769,0.1197,0.4677,-0.03,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17771.1764,0.3665
C2-CrossAttention-CARMATensor,mal2025_dual_local_ready,popularity,1202,8057.3542,0.5607,1.7178,-1.0317,0.2047,-0.0818,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27745.2793,0.3869
C2-CrossAttention-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3471.6457,0.4961,0.9562,0.3909,0.4624,0.0042,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17473.8473,0.4509
C2-CrossAttention-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,7646.5571,0.6687,1.2208,-0.1227,0.3735,-0.0446,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27263.6493,0.4869
C2-CrossAttention-CARMATensor,mal2025_dual_local_ready,meanScore,1202,8.3423,0.5491,,,,-1.0387,0.6622,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",9.882,0.5378
C2-CrossAttention-CARMATensor,mal2025_dual_local_ready_yolo,meanScore,1202,8.0652,0.5762,,,,-0.9664,0.6714,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",9.7052,0.5555
C2-RecurrentFusion-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3632.6435,0.0766,1.2692,-0.044,0.3073,-0.0221,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17703.3944,0.3418
C2-RecurrentFusion-CARMATensor,mal2025_dual_local_ready,popularity,1202,8037.2632,0.4585,1.8289,-1.256,0.1814,-0.0731,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27633.3075,0.388
C2-RecurrentFusion-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3505.4037,0.3963,1.0549,0.3034,0.3777,0.007,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17449.2085,0.428
C2-RecurrentFusion-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,7707.4675,0.6338,1.3365,-0.2993,0.3111,-0.0432,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27245.3644,0.4556
C2-RecurrentFusion-CARMATensor,mal2025_dual_local_ready,meanScore,1202,9.2142,0.6113,,,,-1.4073,0.5865,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",10.7383,0.591
C2-RecurrentFusion-CARMATensor,mal2025_dual_local_ready_yolo,meanScore,1202,8.221,0.6459,,,,-1.013,0.6656,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image""], ""image_dim"": 1024, ""n_features"": 3899, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",9.8196,0.6183
C3-RAG-XGB-CARMATensor,mal2025_popularity_local_ready,popularity,3765,3586.9237,0.4392,1.0383,0.2011,0.4497,-0.0296,,resumed from existing CARMA tensor prediction file,17768.1821,0.3639
C3-RAG-XGB-CARMATensor,mal2025_dual_local_ready,popularity,1202,8012.3729,0.6211,1.5637,-0.7912,0.2704,-0.0822,,resumed from existing CARMA tensor prediction file,27750.6258,0.3802
C3-RAG-XGB-CARMATensor,mal2025_popularity_local_ready_yolo,popularity,3765,3563.7927,0.5097,0.9974,0.2573,0.4869,-0.0261,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image"", ""rag""], ""image_dim"": 1024, ""n_features"": 12914, ""n_image_modality"": 3, ""n_rows"": 3765, ""rag_image_dim"": 1024, ""split"": ""mal2025_popularity_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image"", ""rag""], ""image_dim"": 1024, ""n_features"": 12914, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",17738.0936,0.3878
C3-RAG-XGB-CARMATensor,mal2025_dual_local_ready_yolo,popularity,1202,7974.5159,0.6591,1.5278,-0.6851,0.2629,-0.0784,,"{""eval"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image"", ""rag""], ""image_dim"": 1024, ""n_features"": 12914, ""n_image_modality"": 3, ""n_rows"": 1202, ""rag_image_dim"": 1024, ""split"": ""mal2025_dual_local_ready_yolo"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 0}, ""train"": {""all_image_missing_rows"": 0, ""all_rag_missing_rows"": 0, ""groups"": [""meta"", ""text"", ""image"", ""rag""], ""image_dim"": 1024, ""n_features"": 12914, ""n_image_modality"": 3, ""n_rows"": 13321, ""rag_image_dim"": 1024, ""split"": ""train"", ""text_dim"": 768, ""top_k"": 5, ""zero_text_rows"": 592}}",27701.4394,0.4103
C3-RAG-XGB-CARMATensor,mal2025_dual_local_ready,meanScore,1202,9.3699,0.5989,,,,-1.43,0.5932,resumed from existing CARMA tensor prediction file,10.7889,0.5655
