baseline_id,target,feature_set,model,reference,reproduction_level,paper_supported_component,project_adaptation_component,claim_allowed,claim_not_allowed,status,notes,n_train,n_features,val_MAE,val_RMSE,val_R2,val_Spearman_rho,val_Pearson_r,val_log_MAE,n_val,test_MAE,test_RMSE,test_R2,test_Spearman_rho,test_Pearson_r,test_log_MAE,n_test,run_dir
C2-ProjectInputRecurrentFusion,popularity,metadata_text_image,project_input_recurrent_fusion,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 describes cross-modal attention transformer fusion together with recurrent-style fusion and metadata-related factors.,"Project metadata/text/image embeddings are fused with bidirectional text-image cross-attention, then a GRU recurrent fusion step refines the text/image/metadata token sequence before regression.",Project-input CTNN-style recurrent fusion proxy that keeps this project's input contract while covering the paper's recurrent-fusion motivation.,Do not claim exact CTNN reproduction; this row keeps anime embeddings and regression targets and does not use the paper's movie review/poster feature extraction or box-office class setup.,ok,,12729,3994,11803.4025,32345.9292,0.5012,0.8758,0.7631,0.8342,2637,10469.808,26964.748,0.4748,0.8673,0.6921,0.9151,2808,.exp/baseline/results/v2_highres_01_6
C2-ProjectInputRecurrentFusion,meanScore,metadata_text_image,project_input_recurrent_fusion,"Madongo, Tang & Hassan 2023",adapted,Madongo et al. 2023 describes cross-modal attention transformer fusion together with recurrent-style fusion and metadata-related factors.,"Project metadata/text/image embeddings are fused with bidirectional text-image cross-attention, then a GRU recurrent fusion step refines the text/image/metadata token sequence before regression.",Project-input CTNN-style recurrent fusion proxy that keeps this project's input contract while covering the paper's recurrent-fusion motivation.,Do not claim exact CTNN reproduction; this row keeps anime embeddings and regression targets and does not use the paper's movie review/poster feature extraction or box-office class setup.,ok,,12729,3994,7.0021,8.9244,0.3577,0.6015,0.625,,2637,8.3908,10.5612,0.0037,0.4895,0.5107,,2808,.exp/baseline/results/v2_highres_01_6
C3-RAG-None-XGB,popularity,metadata_text_image_rag_none,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP includes a non-retrieval control and retrieval-augmented popularity prediction setup.,Project full multimodal metadata/text/image features plus schema-compatible no-retrieval RAG features.,No-RAG control for a SKAPP-inspired retrieval ablation.,Do not claim SKAPP reproduction; this row has no retrieval and no RRCP/VL-GNN/RRCP-Attention.,ok,,12729,4002,11274.0158,31093.5744,0.5391,0.8745,0.8124,0.833,2637,9582.1103,25124.8945,0.544,0.8652,0.7488,0.8813,2808,.exp/baseline/results/v2_highres_01_7
C3-RAG-None-XGB,meanScore,metadata_text_image_rag_none,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP includes a non-retrieval control and retrieval-augmented popularity prediction setup.,Project full multimodal metadata/text/image features plus schema-compatible no-retrieval RAG features.,No-RAG control for a SKAPP-inspired retrieval ablation.,Do not claim SKAPP reproduction; this row has no retrieval and no RRCP/VL-GNN/RRCP-Attention.,ok,,12729,4002,7.1344,9.0143,0.3447,0.6096,0.6323,,2637,8.2119,10.2677,0.0583,0.5575,0.573,,2808,.exp/baseline/results/v2_highres_01_7
C3-RAG-Sparse-XGB,popularity,metadata_text_image_rag_sparse,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates metadata-aware retrieval beyond vanilla semantic retrieval.,"Offline train-set knowledge base retrieval using genre, studio, voice actor, and source overlap with temporal filtering.",Sparse metadata retrieval baseline inspired by SKAPP's meta retriever.,"Do not claim SKAPP reproduction; this lacks RRCP selection, VL-GNN context learning, and RRCP-Attention.",ok,,12729,4078,9846.7391,26280.9399,0.6707,0.8903,0.8378,0.7947,2637,9219.1995,23114.4869,0.6141,0.8715,0.7858,0.9253,2808,.exp/baseline/results/v2_highres_01_8
C3-RAG-Sparse-XGB,meanScore,metadata_text_image_rag_sparse,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates metadata-aware retrieval beyond vanilla semantic retrieval.,"Offline train-set knowledge base retrieval using genre, studio, voice actor, and source overlap with temporal filtering.",Sparse metadata retrieval baseline inspired by SKAPP's meta retriever.,"Do not claim SKAPP reproduction; this lacks RRCP selection, VL-GNN context learning, and RRCP-Attention.",ok,,12729,4078,6.7402,8.5509,0.4104,0.6484,0.6671,,2637,8.0691,10.0726,0.0938,0.5563,0.5731,,2808,.exp/baseline/results/v2_highres_01_8
C3-RAG-Dense-XGB,popularity,metadata_text_image_rag_dense,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP compares against vanilla semantic retrieval and improves it with selective retrieval knowledge augmentation.,Offline dense retrieval using project text embeddings over temporally valid train-set items.,Dense semantic retrieval baseline inspired by the retrieval comparison in SKAPP.,Do not claim SKAPP reproduction; this is vanilla semantic retrieval without RRCP/VL-GNN/RRCP-Attention.,ok,,12729,4078,11021.3627,30029.065,0.5701,0.8737,0.8113,0.8342,2637,9662.1298,24953.2523,0.5502,0.8614,0.7505,0.896,2808,.exp/baseline/results/v2_highres_01_9
C3-RAG-Dense-XGB,meanScore,metadata_text_image_rag_dense,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP compares against vanilla semantic retrieval and improves it with selective retrieval knowledge augmentation.,Offline dense retrieval using project text embeddings over temporally valid train-set items.,Dense semantic retrieval baseline inspired by the retrieval comparison in SKAPP.,Do not claim SKAPP reproduction; this is vanilla semantic retrieval without RRCP/VL-GNN/RRCP-Attention.,ok,,12729,4078,6.9084,8.7994,0.3756,0.6215,0.6444,,2637,8.0937,10.1452,0.0806,0.558,0.5751,,2808,.exp/baseline/results/v2_highres_01_9
C3-RAG-Hybrid-XGB,popularity,metadata_text_image_rag_hybrid,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates combining multimodal semantics and metadata/context for retrieval-augmented popularity prediction.,Offline hybrid retrieval fusing sparse metadata overlap and dense text-embedding retrieval with reciprocal-rank fusion.,Hybrid retrieval baseline inspired by SKAPP's meta retrieval motivation.,"Do not claim SKAPP reproduction; this lacks RRCP selection, VL-GNN context learning, and RRCP-Attention.",ok,,12729,4078,11063.0131,29589.1078,0.5826,0.8748,0.809,0.8347,2637,9967.652,25477.1057,0.5312,0.8641,0.7359,0.8972,2808,.exp/baseline/results/v2_highres_01_10
C3-RAG-Hybrid-XGB,meanScore,metadata_text_image_rag_hybrid,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates combining multimodal semantics and metadata/context for retrieval-augmented popularity prediction.,Offline hybrid retrieval fusing sparse metadata overlap and dense text-embedding retrieval with reciprocal-rank fusion.,Hybrid retrieval baseline inspired by SKAPP's meta retrieval motivation.,"Do not claim SKAPP reproduction; this lacks RRCP selection, VL-GNN context learning, and RRCP-Attention.",ok,,12729,4078,6.7657,8.6,0.4036,0.6455,0.6645,,2637,8.1344,10.1904,0.0724,0.5657,0.5855,,2808,.exp/baseline/results/v2_highres_01_10
C3-RAG-Selective-XGB,popularity,metadata_text_image_rag_selective,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates selective retrieval knowledge augmentation to reduce noisy retrieved context.,"Offline sparse metadata retrieval with temporal filtering, followed by median-threshold filtering of low-contribution top-k candidates before feature aggregation.",Selective sparse retrieval baseline inspired by SKAPP's RRCP-style filtering motivation.,Do not claim SKAPP or RRCP reproduction; this uses a simple deterministic contribution proxy and lacks VL-GNN context learning and RRCP-Attention.,ok,,12729,4078,9667.0474,25742.1749,0.6841,0.8905,0.8496,0.79,2637,9256.1195,22990.5556,0.6182,0.8719,0.7874,0.9266,2808,.exp/baseline/results/v2_highres_01_11
C3-RAG-Selective-XGB,meanScore,metadata_text_image_rag_selective,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates selective retrieval knowledge augmentation to reduce noisy retrieved context.,"Offline sparse metadata retrieval with temporal filtering, followed by median-threshold filtering of low-contribution top-k candidates before feature aggregation.",Selective sparse retrieval baseline inspired by SKAPP's RRCP-style filtering motivation.,Do not claim SKAPP or RRCP reproduction; this uses a simple deterministic contribution proxy and lacks VL-GNN context learning and RRCP-Attention.,ok,,12729,4078,6.7292,8.5569,0.4095,0.6475,0.6659,,2637,8.0901,10.1024,0.0884,0.5561,0.5742,,2808,.exp/baseline/results/v2_highres_01_11
C3-ProjectInputSKAPPProxy-XGB,popularity,metadata_text_image_rag_skapp_proxy,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates selective retrieval knowledge augmentation with contribution-aware retrieved-context refinement.,"Project historical-anime retrieval using sparse+dense hybrid candidates, a train-only learned contribution scorer, contribution-threshold filtering, and attention-weighted retrieved-context aggregation before XGBoost fusion.",Project-input SKAPP-style retrieval/context-fusion proxy with learned contribution filtering and attention-weighted retrieved aggregates.,"Do not claim SKAPP reproduction, RRCP reproduction, VL-GNN reproduction, or RRCP-Attention reproduction; this keeps project anime inputs and uses aggregate attention-weighted features rather than a graph neural context module.",ok,,12729,4087,10555.9217,28476.0436,0.6134,0.8794,0.8097,0.816,2637,10075.2543,25153.185,0.543,0.8633,0.7393,0.9363,2808,.exp/baseline/results/v2_highres_01_12
C3-ProjectInputSKAPPProxy-XGB,meanScore,metadata_text_image_rag_skapp_proxy,xgboost,Xu et al. 2025 SKAPP,inspired,SKAPP motivates selective retrieval knowledge augmentation with contribution-aware retrieved-context refinement.,"Project historical-anime retrieval using sparse+dense hybrid candidates, a train-only learned contribution scorer, contribution-threshold filtering, and attention-weighted retrieved-context aggregation before XGBoost fusion.",Project-input SKAPP-style retrieval/context-fusion proxy with learned contribution filtering and attention-weighted retrieved aggregates.,"Do not claim SKAPP reproduction, RRCP reproduction, VL-GNN reproduction, or RRCP-Attention reproduction; this keeps project anime inputs and uses aggregate attention-weighted features rather than a graph neural context module.",ok,,12729,4087,6.5052,8.3695,0.4351,0.6574,0.6746,,2637,7.8582,9.8838,0.1274,0.5634,0.5823,,2808,.exp/baseline/results/v2_highres_01_12
C3-ProjectInputSKAPPGraphProxy,popularity,metadata_text_image_rag_skapp_graph_proxy,project_input_skapp_graph_proxy,Xu et al. 2025 SKAPP,adapted,"SKAPP source code uses per-query retrieved visual/textual tensors, retrieved labels, RRCP threshold masking, a variable-length graph module, and RRCP-attention prediction.","Project anime metadata/text/image inputs are combined with fixed top-k train-only retrieved context tensors; a torch proxy applies RRCP-style masks, learned graph adjacency over query and retrieved tokens, and contribution-aware attention before regression.",Closest current project-input SKAPP architecture proxy: retrieved tensors plus RRCP-mask and graph/attention context learning under the project's temporal retrieval contract.,"Do not claim exact SKAPP reproduction or numerical comparability; this still uses anime pre-release inputs, fixed top-k padding, project embeddings, and proxy RRCP labels rather than SKAPP's social-media data and RRCP pretraining pipeline.",ok,,12729,42480,10373.791,27502.2812,0.6394,0.8903,0.8042,0.7906,2637,11254.5741,29150.9954,0.3862,0.8737,0.6929,0.9305,2808,.exp/baseline/results/v2_highres_01_13
C3-ProjectInputSKAPPGraphProxy,meanScore,metadata_text_image_rag_skapp_graph_proxy,project_input_skapp_graph_proxy,Xu et al. 2025 SKAPP,adapted,"SKAPP source code uses per-query retrieved visual/textual tensors, retrieved labels, RRCP threshold masking, a variable-length graph module, and RRCP-attention prediction.","Project anime metadata/text/image inputs are combined with fixed top-k train-only retrieved context tensors; a torch proxy applies RRCP-style masks, learned graph adjacency over query and retrieved tokens, and contribution-aware attention before regression.",Closest current project-input SKAPP architecture proxy: retrieved tensors plus RRCP-mask and graph/attention context learning under the project's temporal retrieval contract.,"Do not claim exact SKAPP reproduction or numerical comparability; this still uses anime pre-release inputs, fixed top-k padding, project embeddings, and proxy RRCP labels rather than SKAPP's social-media data and RRCP pretraining pipeline.",ok,,12729,42480,6.5665,8.4227,0.4279,0.6494,0.666,,2637,8.1218,10.2195,0.0671,0.5169,0.5453,,2808,.exp/baseline/results/v2_highres_01_13
